class,before,after
MEASURE,m,meters
MEASURE,km,kilometers
MEASURE,%,percent
MEASURE,GB,gigabyte
MEASURE,/km2,per square kilometers
MEASURE,mi,miles
MEASURE,/km²,per square kilometers
MEASURE,ft,feet
MEASURE,kg,kilograms
MEASURE,lb,pounds
MEASURE,km2,square kilometers
MEASURE,sq mi,square miles
MEASURE,mph,miles per hour
MEASURE,km/h,kilometers per hour
MEASURE,nm,nanometers
MEASURE,ha,hectares
MEASURE,km²,square kilometers
MEASURE,mL,milliliters
MEASURE,mm,millimeters
MEASURE,m³/s,cubic meters per second
MEASURE,percent,percent
MEASURE,lbs,pounds
MEASURE,cc,c c
MEASURE,ch,chains
MEASURE,hp,horsepower
MEASURE,kW,kilowatts
MEASURE,cm,centimeters
MEASURE,yd,yards
MEASURE,/h,per hour
MEASURE,m2,square meters
MEASURE,MW,megawatts
MEASURE,"""",inches
MEASURE,hrs,hours
MEASURE,per km2,per square kilometer
MEASURE,/m,per meter
MEASURE,m3,cubic meters
MEASURE,',feet
MEASURE,mA,milli amperes
MEASURE,per km²,per square kilometer
MEASURE,KB,kilobytes
MEASURE,ml,milliliters
MEASURE,TB,terabytes
MEASURE,KC,kilo coulombs
MEASURE,Gs,giga seconds
MEASURE,MB,megabytes
MEASURE,pH,pico henrys
MEASURE,sq ft,square feet
MEASURE,MHz,megahertz
MEASURE,rpm,revolutions per minute
MEASURE,in,and a half inches
MEASURE,GHz,gigahertz
MEASURE,kph,kilometers per hour
MEASURE,mg,milligrams
MEASURE,μg,micrograms
MEASURE,kV,kilo volts
MEASURE,Hz,hertz
MEASURE,μm,micrometers
MEASURE,ft/s,foot per second
MEASURE,Km,kilometers
MEASURE,g,grams
MEASURE,kB,kilobytes
MEASURE,yr,years
MEASURE,kcal/mol,kilo calories per mole
MEASURE,pc,percent
MEASURE,MPa,megapascals
MEASURE,atm,atmospheres
MEASURE,cwt,weight
MEASURE,m²,square meters
MEASURE,/mi²,per square miles
MEASURE,/year,per year
MEASURE,V,volts
MEASURE,yrs,years
MEASURE,m/h,meters per hour
MEASURE,Ms,mega seconds
MEASURE,/s,per second
MEASURE,cd,candelas
MEASURE,mV,milli volts
MEASURE,μs,microseconds
MEASURE,KA,kilo amperes
MEASURE,kN,kilonewtons
MEASURE,GL,giga liters
MEASURE,PW,peta watts
MEASURE,TWh,tera watt hours
MEASURE,ft/min,foot per minute
MEASURE,GW,gigawatts
MEASURE,m/s,meters per second
MEASURE,bar,bars
MEASURE,kHz,kilohertz
MEASURE,Pg,peta grams
MEASURE,MN,mega newtons
MEASURE,oz,ounces
MEASURE,mi²,square miles
MEASURE,/kg,per kilogram
MEASURE,ks,kilo seconds
MEASURE,AU,astronomical units
MEASURE,Mb,megabits
MEASURE,hr,hour
MEASURE,kWh,kilo watt hours
MEASURE,meters/second,meters per second
MEASURE,/m3,per cubic meter
MEASURE,mAh,milli amp hours
MEASURE,TL,tera liters
MEASURE,cal,cal
MEASURE,g/cm3,grams per c c
MEASURE,/day,per day
MEASURE,st,stone
MEASURE,Da,daltons
MEASURE,Sv,sieverts
MEASURE,Mbps,megabits per second
MEASURE,mg/kg,milligrams per kilogram
MEASURE,m3/s,cubic meters per second
MEASURE,kg/m3,kilograms per cubic meter
MEASURE,Gb,gigabits
MEASURE,kgf,kilograms force
MEASURE,m³,cubic meters
MEASURE,Mhz,megahertz
MEASURE,kb,kilobits
MEASURE,ms,milliseconds
MEASURE,MC,mega coulombs
MEASURE,/mm,per millimeter
MEASURE,dB,decibels
MEASURE,per m2,per square meter
MEASURE,degrees C,degrees celsius
MEASURE,Wh,watt hours
MEASURE,dA,deci amperes
MEASURE,dm,deci meter
MEASURE,MB/s,megabytes per second
MEASURE,eV,electron volts
MEASURE,ML,mega liters
MEASURE,GWh,giga watt hours
MEASURE,liters/second,liters per second
MEASURE,km3,cubic kilometers
MEASURE,/month,per month
MEASURE,tons/hour,tons per hour
MEASURE,km/km2,kilometers per square kilometer
MEASURE,sq,square
MEASURE,MA,mega amperes
MEASURE,cm2,square centimeters
MEASURE,TW,tera watts
MEASURE,kg/m²,kilograms per square meter
MEASURE,MV,mega volts
MEASURE,/second,per second
MEASURE,nl,nano liters
MEASURE,kl,kilo liters
MEASURE,/cm,per centimeter
MEASURE,Pb,peta bits
MEASURE,Pa,pascals
MEASURE,mi2,square miles
MEASURE,hz,hertz
MEASURE,kJ/mol,kilo joule per mole
MEASURE,hl,hecto liters
MEASURE,Gm,giga meters
MEASURE,kt,knots
MEASURE,PN,ninths of a peta newton
MEASURE,Klm,kilo lumens
MEASURE,gal,gallons
MEASURE,mbar,millibars
MEASURE,kPa,kilopascals
MEASURE,bbl,barrels
MEASURE,/mi2,per square miles
MEASURE,mHz,milli hertz
MEASURE,KV,kilo volts
MEASURE,MJ,mega joules
MEASURE,Ω,ohms
MEASURE,KW,kilowatts
MEASURE,mm M,millimeters
MEASURE,Nm,newton meters
MEASURE,h,hours
MEASURE,s,seconds
MEASURE,mg/m3,milligrams per cubic meter
MEASURE,Ps,peta seconds
MEASURE,mm2,square millimeters
MEASURE,kg/m,kilograms per meter
MEASURE,kts,knots
MEASURE,/minute,per minute
MEASURE,ly,light years
MEASURE,per Kg,per kilogram
MEASURE,Kb,kilobits
MEASURE,Ts,tera seconds
MEASURE,KHz,kilohertz
MEASURE,GPa,giga pascals
MEASURE,kWh/kg,kilo watt hours per kilogram
MEASURE,MWh,mega watt hours
MEASURE,Bq/m3,becquerels per cubic meter
MEASURE,g/kg,grams per kilogram
