class,before,after
MONEY,$,dollars
MONEY,$ million,million dollars
MONEY,£ million,million pounds
MONEY,US$,dollars
MONEY,£,pounds
MONEY,$M,million dollars
MONEY,€ million,million euros
MONEY,US$ million,million dollars
MONEY,$ Million,million dollars
MONEY,trillion VND,trillion vietnamese dongs
MONEY,$bn,billion dollars
MONEY,€m,million euros
MONEY,$m,million dollars
MONEY,USD,united states dollars
MONEY,$ billion,billion dollars
MONEY,€,euros
MONEY,$b,billion dollars
MONEY,£m,million pounds
MONEY,DKK  million,million danish kroner
MONEY,A$ million,million dollars
MONEY,$ Billion,billion dollars
MONEY,yuan,yuan
MONEY,¥ million,zeromillion yen
MONEY,Rs,rupees
MONEY,CHF,swiss francs
MONEY,€b,billion euros
MONEY,NZ$,dollars
MONEY,€million,million euros
MONEY,€bn,billion euros
MONEY,dollars,dollars
MONEY,Rs  crore,crore rupees
MONEY,rs,rupees
MONEY,CZK,czech korunas
MONEY,USD  Million,million united states dollars
MONEY,$million,million dollars
MONEY,CA$ billion,billion dollars
MONEY,RSD,serbian dinars
MONEY,MKMF,2005 MKMF
MONEY,HK$,dollars
MONEY,million won,million won
MONEY,billion DKK,billion danish kroner
MONEY,Rs  Bn,billion rupees
MONEY,USD  Bn,billion united states dollars
MONEY,FIM,finnish markkas
MONEY,HUF  million,million hungarian forints
MONEY,US$ Billion,billion dollars
MONEY,billion dollar,billion dollars
MONEY,million dollars,million dollars
MONEY,US$M,million dollars
MONEY,NOK  billion,billion norwegian kroner
MONEY,Rs crores,sixcrore rupees
MONEY,¥ billion,billion yen
MONEY,£million,million pounds
MONEY,U$S,dollars
MONEY,ZAR,south african rands
MONEY,US$ billion,billion dollars
MONEY,HK$ million,million dollars
MONEY,AED  billion,billion united arab emirates dirhams
MONEY,DM,german marks
MONEY,Mrs,million rupees
MONEY,$B,billion dollars
MONEY,BSD,bahamian dollars
MONEY,ILS,israeli new sheqels
MONEY,BEF,belgian francs
MONEY,million yuan,million yuan
MONEY,million EUR,million euros
MONEY,£ billion,billion pounds
MONEY,$K,dollars
MONEY,NOK  million,million norwegian kroner
MONEY,€ billion,billion euros
MONEY,CYPE,CYP2E1
MONEY,CYP,cypriot pounds
MONEY,yen,yen
MONEY,R$,reals
MONEY,$  million,million dollars
MONEY,million dollar,million dollars
MONEY,$billion,billion dollars
MONEY,Rs  cr,crore rupees
MONEY,£M,million pounds
MONEY,Dollar,dollars
MONEY,billion Yuan,billion yuan
MONEY,NZ$ million,million dollars
MONEY,£k,pounds
MONEY,S$ million,million dollars
MONEY,million DKK,million danish kroner
MONEY,million THB,million thai bahts
MONEY,$ thousand,dollars
MONEY,PHP,philippine pesos and centavos
MONEY,billion dollars,billion dollars
MONEY,A$,dollars
MONEY,PLN m,million polish zlotys
MONEY,won,won
MONEY,SCR,seychelles rupees
MONEY,$k,dollars
MONEY,AU$,dollars
MONEY,$ bn,billion dollars
MONEY,R$ billion,billion reals
MONEY,CA$ million,million dollars
MONEY,INR,indian rupees
MONEY,billion yuan,billion yuan
MONEY,£ Million,million pounds
MONEY,PHP  Million,million philippine pesos
MONEY,$ trillion,trillion dollars
MONEY,CAD,canadian dollars
MONEY,IDR,indonesian rupiahs
MONEY,¥,million yen
MONEY,BWP,botswana pulas
MONEY,A$m,million dollars
MONEY,billion won,billion won
MONEY,XCD,east caribbean dollars
MONEY,USD billion,billion united states dollars
MONEY,Rs Crores,crore rupees
MONEY,USD million,million united states dollars
MONEY,BMD,bermudian dollars
MONEY,€ M,million euros
MONEY,€  M,million euros
MONEY,USD  million,million united states dollars
MONEY,million PKR,million pakistani rupees
MONEY,MATS,million austrian schillings
MONEY,NOK,norwegian kroner
MONEY,US$m,million dollars
MONEY,CA$,dollars
MONEY,SEK,swedish kronor
MONEY,Trillion Dollar,trillion dollars
MONEY,Rs crore,crore rupees
MONEY,dollar,dollars
MONEY,Rs Crore,crore rupees
MONEY,EUR,euros
MONEY,million SEK,million swedish kronor
MONEY,million USD,million united states dollars
MONEY,£ m,million pounds
MONEY,€  million,million euros
MONEY,billion USD,billion united states dollars
MONEY,Rs  Cr,crore rupees
MONEY,Rs  billion,billion rupees
MONEY,DM billion,billion german marks
MONEY,million KRW,million korean won
MONEY,US$ m,million dollars
MONEY,$Million,million dollars
MONEY,BARS,billion argentine pesos
MONEY,Won,won
MONEY,GMD,gambian dalasis
MONEY,EUR  billion,billion euros
MONEY,£bn,billion pounds
MONEY,A$bn,billion dollars
MONEY,¥bn,billion yen
MONEY,£  million,million pounds
MONEY,€M,million euros
MONEY,$ MILLION,million dollars
MONEY,S$,dollars
MONEY,£ trillion,trillion pounds
MONEY,Rs cr,crore rupees
MONEY,USDm,million united states dollars
MONEY,billion yen,billion yen
MONEY,€k,euros
MONEY,$ b,billion dollars
MONEY,billion AED,billion united arab emirates dirhams
MONEY,NZ$ billion,billion dollars
MONEY,Yuan,yuan
MONEY,$ M,million dollars
MONEY,AED,million united arab emirates dirhams
MONEY,TK  cr,crore takas
MONEY,INR  lakh,lakh indian rupees
MONEY,Rs million,million rupees
MONEY,UAH  million,million ukrainian hryvnias
MONEY,$ m,million dollars
MONEY,Rs  lacs,lakh rupees
MONEY,KZL,zlotys
MONEY,US$  million,million dollars
MONEY,SBD,solomon islands dollars
MONEY,SSP,south sudanese pounds
MONEY,DM  million,million german marks
MONEY,PGK,papua new guinean kina
MONEY,LTL,lithuanian litass
MONEY,ARS,argentine pesos
MONEY,million PLN,million polish zlotys
MONEY,DKK,danish kroner
MONEY,THB,thai bahts
MONEY,RS,rupees
MONEY,BDT,bangladeshi takas
MONEY,SHP,saint helena pounds
MONEY,INR  lakhs,lakh indian rupees
MONEY,SAR,saudi riyals
MONEY,EUR m,million euros
MONEY,R$ million,million reals
MONEY,US$ trillion,trillion dollars
MONEY,HK$ billion,billion dollars
MONEY,$T,trillion dollars
MONEY,GBPM,million british pounds
MONEY,£b,billion pounds
MONEY,A$million,million dollars
MONEY,US$  billion,billion dollars
MONEY,Million Dollar,million dollars
MONEY,CAD million,million canadian dollars
MONEY,GBP,british pounds
MONEY,Rs  million,million rupees
MONEY,million DM,million german marks
