class,before,after
PLAIN,vol,volume
PLAIN,vs,versus
PLAIN,PbSO4,lead two sulphate
PLAIN,-,to
PLAIN,st,saint
PLAIN,dr,doctor
PLAIN,int'l,international
PLAIN,mr,mister
PLAIN,ltd,limited
PLAIN,st,street
PLAIN,CPL,corporal
PLAIN,sq,square
PLAIN,nov,november
PLAIN,:,to
PLAIN,no,number
PLAIN,dept,department
PLAIN,jr,junior
PLAIN,cpl,corporal
PLAIN,rd,road
PLAIN,ST,saint
PLAIN,MR,mister
PLAIN,bros,brothers
PLAIN,x,by
PLAIN,mt,mount
PLAIN,sr,senior
PLAIN,MTN,mountain
PLAIN,etc,etcetera
PLAIN,cir,circle
PLAIN,No,number
PLAIN,pvt,private
PLAIN,litre,liter
PLAIN,Risa,riza
PLAIN,Café,cafe
PLAIN,Wy,way
PLAIN,Vol,volume
PLAIN,Al2O3,aluminium oxide
PLAIN,RD,road
PLAIN,SR,senior
PLAIN,ST,street
PLAIN,metre,meter
PLAIN,ave,avenue
PLAIN,prof,professor
PLAIN,OK,okay
PLAIN,NO,nitrogen monoxide
PLAIN,pl,place
PLAIN,Prof,professor
PLAIN,yr,year
PLAIN,DR,drive
PLAIN,odour,odor
PLAIN,JR,junior
PLAIN,w/,with
PLAIN,Mitre,miter
PLAIN,Vs,versus
PLAIN,LN,lane
PLAIN,tues,tuesday
PLAIN,CLL,calle
PLAIN,Metre,meter
PLAIN,PL,place
PLAIN,MT,mount
PLAIN,sqn,squadron
PLAIN,café,cafe
PLAIN,Nov,november
PLAIN,CCl4,carbon tetra chloride
PLAIN,CO)16,carbon hexadecoxide
PLAIN,ln,lane
PLAIN,Bros,brothers
PLAIN,SO,sulphur monoxide
PLAIN,blvd,boulevard
PLAIN,hr,hour
PLAIN,WY,way
PLAIN,Cos,cause
PLAIN,mgmt,management
PLAIN,LB,pound
PLAIN,Sun,sunday
PLAIN,BBQ,barbeque
PLAIN,mtn,mountain
PLAIN,WK,week
PLAIN,Fibre,fiber
PLAIN,Isaak,izaak
PLAIN,SAT,saturday
PLAIN,ok,okay
PLAIN,:-(,sad face sil
PLAIN,lb,pound
PLAIN,~,to
PLAIN,Dept,department
PLAIN,EsP,especially
PLAIN,Oct,october
PLAIN,DR,doctor
PLAIN,ct,court
PLAIN,I,one
PLAIN,fibre,fiber
PLAIN,LTD,limited
PLAIN,CO)5,carbon pentoxide
PLAIN,CO)9,carbon nonoxide
PLAIN,COS,cause
PLAIN,kg,kilogram
PLAIN,CO),carbon monoxide
PLAIN,Pop,population
PLAIN,sun,sunday
PLAIN,:(,sad face sil
PLAIN,YR,year
PLAIN,Ave,avenue
PLAIN,jct,junction
PLAIN,op,opus
PLAIN,min,minute
PLAIN,apr,april
PLAIN,INT'L,international
PLAIN,Int'l,international
PLAIN,Tel,telephone
PLAIN,CTRL,control
PLAIN,ETC,etcetera
PLAIN,CTR,center
PLAIN,dr,drive
PLAIN,Ok,okay
PLAIN,Yr,year
PLAIN,mins,minutes
PLAIN,NO),nitrogen monoxide
PLAIN,Etc,etcetera
PLAIN,Op,opus
PLAIN,Min,minute
PLAIN,bldg,building
PLAIN,Pate,paté
PLAIN,Col,colonel
PLAIN,oct,october
PLAIN,Elisa,eliza
PLAIN,MgO),magnesium oxide
PLAIN,esp,especially
PLAIN,ohiʻa,ohia
PLAIN,iʻiwi,iiwi
PLAIN,PO),phosphorus monoxide
PLAIN,Intl,international
PLAIN,OP,opus
PLAIN,BR,bridge
PLAIN,wk,week
PLAIN,ClO)2,chlorine di oxide
PLAIN,intl,international
PLAIN,wks,weeks'
PLAIN,ELISA,eliza
PLAIN,Apr,april
PLAIN,CRK,creek
PLAIN,pate,paté
PLAIN,aliʻi,alii
PLAIN,ClO4,chlorine tetroxide
PLAIN,mitre,miter
