class,before,after
PLAIN,vol,volume
PLAIN,vs,versus
PLAIN,pbso4,lead two sulphate
PLAIN,-,to
PLAIN,st,saint
PLAIN,dr,doctor
PLAIN,int'l,international
PLAIN,mr,mister
PLAIN,ltd,limited
PLAIN,st,street
PLAIN,cpl,corporal
PLAIN,sq,square
PLAIN,nov,november
PLAIN,:,to
PLAIN,no,number
PLAIN,dept,department
PLAIN,jr,junior
PLAIN,rd,road
PLAIN,bros,brothers
PLAIN,x,by
PLAIN,mt,mount
PLAIN,sr,senior
PLAIN,mtn,mountain
PLAIN,etc,etcetera
PLAIN,cir,circle
PLAIN,pvt,private
PLAIN,litre,liter
PLAIN,risa,riza
PLAIN,café,cafe
PLAIN,wy,way
PLAIN,al2o3,aluminium oxide
PLAIN,metre,meter
PLAIN,ave,avenue
PLAIN,prof,professor
PLAIN,ok,okay
PLAIN,no,nitrogen monoxide
PLAIN,pl,place
PLAIN,yr,year
PLAIN,dr,drive
PLAIN,odour,odor
PLAIN,w/,with
PLAIN,mitre,miter
PLAIN,ln,lane
PLAIN,tues,tuesday
PLAIN,cll,calle
PLAIN,sqn,squadron
PLAIN,ccl4,carbon tetra chloride
PLAIN,co)16,carbon hexadecoxide
PLAIN,so,sulphur monoxide
PLAIN,blvd,boulevard
PLAIN,hr,hour
PLAIN,cos,cause
PLAIN,mgmt,management
PLAIN,lb,pound
PLAIN,sun,sunday
PLAIN,bbq,barbeque
PLAIN,wk,week
PLAIN,fibre,fiber
PLAIN,isaak,izaak
PLAIN,sat,saturday
PLAIN,:-(,sad face sil
PLAIN,~,to
PLAIN,esp,especially
PLAIN,oct,october
PLAIN,ct,court
PLAIN,i,one
PLAIN,co)5,carbon pentoxide
PLAIN,co)9,carbon nonoxide
PLAIN,kg,kilogram
PLAIN,co),carbon monoxide
PLAIN,pop,population
PLAIN,:(,sad face sil
PLAIN,jct,junction
PLAIN,op,opus
PLAIN,min,minute
PLAIN,apr,april
PLAIN,tel,telephone
PLAIN,ctrl,control
PLAIN,ctr,center
PLAIN,mins,minutes
PLAIN,no),nitrogen monoxide
PLAIN,bldg,building
PLAIN,pate,paté
PLAIN,col,colonel
PLAIN,elisa,eliza
PLAIN,mgo),magnesium oxide
PLAIN,ohiʻa,ohia
PLAIN,iʻiwi,iiwi
PLAIN,po),phosphorus monoxide
PLAIN,intl,international
PLAIN,br,bridge
PLAIN,clo)2,chlorine di oxide
PLAIN,wks,weeks'
PLAIN,crk,creek
PLAIN,aliʻi,alii
PLAIN,clo4,chlorine tetroxide
PLAIN,al2o6,aluminium oxide
PLAIN,nacl,sodium chloride
PLAIN,alcl3,aluminium chloride
PLAIN,oʻahu,oahu
PLAIN,pso,paseo
PLAIN,co)6,carbon hexoxide
PLAIN,tpk,turnpike
PLAIN,oo,oxygen monoxide
PLAIN,mdw,meadow
PLAIN,cl2o3,di chlorine tri oxide
PLAIN,ladys,lady's
PLAIN,cuz,cause
PLAIN,wed,wednesday
PLAIN,ali'i,alii
PLAIN,sncl,tin one chloride
PLAIN,co)12,carbon dodecoxide
PLAIN,expwy,expressway
PLAIN,:),smiley face sil
PLAIN,umweg,um weg
PLAIN,—,to
PLAIN,ke$ha,kesha
PLAIN,beweg,be weg
PLAIN,o'ahu,oahu
PLAIN,mnr,manor
PLAIN,sncl4,tin four chloride
PLAIN,mon,monday
PLAIN,yoiks,yoicks
PLAIN,c(o),carbon monoxide
PLAIN,co)4,carbon tetroxide
PLAIN,nacl),sodium chloride
PLAIN,alo,aluminium oxide
PLAIN,byp,bypass
PLAIN,o'opu,oopu
PLAIN,coz,cause
PLAIN,;),winking face sil
PLAIN,alo3,aluminium oxide
PLAIN,al2o,aluminium oxide
PLAIN,prev,previous
PLAIN,isard,izard
PLAIN,thurs,thursday
PLAIN,fwy,freeway
