"","sentence_id","token_id","before"
"1",0,0,"Brillantaisia"
"2",0,1,"is"
"3",0,2,"a"
"4",0,3,"genus"
"5",0,4,"of"
"6",0,5,"plant"
"7",0,6,"in"
"8",0,7,"family"
"9",0,8,"Acanthaceae"
"10",0,9,"."
"11",1,0,"2006"
"12",1,1,"IUCN"
"13",1,2,"Red"
"14",1,3,"List"
"15",1,4,"of"
"16",1,5,"Threatened"
"17",1,6,"Species"
"18",1,7,"."
"19",2,0,"Circa"
"20",2,1,"Survive"
"21",2,2,"draw"
"22",2,3,"influences"
"23",2,4,"from"
"24",2,5,"soft"
"25",2,6,"rock"
"26",2,7,","
"27",2,8,"post"
"28",2,9,"hardcore"
"29",2,10,","
"30",2,11,"experimental"
"31",2,12,"rock"
"32",2,13,","
"33",2,14,"emo"
"34",2,15,","
"35",2,16,"progressive"
"36",2,17,"rock"
"37",2,18,","
"38",2,19,"art"
"39",2,20,"rock"
"40",2,21,","
"41",2,22,"and"
"42",2,23,"pop"
"43",2,24,"musicians"
"44",2,25,"."
"45",3,0,"Circa"
"46",3,1,"Survive"
"47",3,2,"opened"
"48",3,3,"for"
"49",3,4,"My"
"50",3,5,"Chemical"
"51",3,6,"Romance's"
"52",3,7,"2007"
"53",3,8,"shows"
"54",3,9,"in"
"55",3,10,"Worcester"
"56",3,11,"and"
"57",3,12,"Australian"
"58",3,13,"and"
"59",3,14,"New"
"60",3,15,"Zealand"
"61",3,16,"shows"
"62",3,17,"as"
"63",3,18,"well"
"64",3,19,"."
"65",4,0,"It"
"66",4,1,"has"
"67",4,2,"a"
"68",4,3,"greyish"
"69",4,4,"green"
"70",4,5,","
"71",4,6,"densely"
"72",4,7,"hairy"
"73",4,8,"stem"
"74",4,9,"and"
"75",4,10,"alternate"
"76",4,11,","
"77",4,12,"palmately"
"78",4,13,"lobed"
"79",4,14,"leaves"
"80",4,15,"."
"81",5,0,"2008"
"82",5,1,"Tour"
"83",5,2,"with"
"84",5,3,"Madina"
"85",5,4,"Lake"
"86",5,5,","
"87",5,6,"Coheed"
"88",5,7,"and"
"89",5,8,"Cambria"
"90",5,9,"and"
"91",5,10,"Fightstar"
"92",5,11,"."
"93",6,0,"Greek"
"94",6,1,"National"
"95",6,2,"Road"
"96",6,3,"91"
"97",6,4,"("
"98",6,5,"Athens"
"99",6,6,"—"
"100",6,7,"Sounio"
"101",6,8,")"
"102",6,9,"passes"
"103",6,10,"through"
"104",6,11,"the"
"105",6,12,"town"
"106",6,13,"."
"107",7,0,"Rocky"
"108",7,1,"Mountain"
"109",7,2,"News"
"110",7,3,"."
"111",8,0,"Retrieved"
"112",8,1,"4 March 2014"
"113",8,2,"."
"114",9,0,"The"
"115",9,1,"Brilliance"
"116",9,2,"BC"
"117",9,3,"3"
"118",9,4,"is"
"119",9,5,"a"
"120",9,6,"sport"
"121",9,7,"compact"
"122",9,8,"sized"
"123",9,9,"coupé"
"124",9,10,"produced"
"125",9,11,"by"
"126",9,12,"the"
"127",9,13,"Brilliance"
"128",9,14,"Auto"
"129",9,15,"in"
"130",9,16,"the"
"131",9,17,"People's"
"132",9,18,"Republic"
"133",9,19,"of"
"134",9,20,"China"
"135",9,21,"."
"136",10,0,"University"
"137",10,1,"of"
"138",10,2,"California"
"139",10,3,"publications"
"140",10,4,"in"
"141",10,5,"linguistics"
"142",10,6,"("
"143",10,7,"vol"
"144",10,8,"35"
"145",10,9,")"
"146",10,10,"."
"147",11,0,"Retrieved"
"148",11,1,"April 10, 2013"
"149",11,2,"."
"150",12,0,"Downloaded"
"151",12,1,"on"
"152",12,2,"7 August 2007"
"153",12,3,"."
"154",13,0,"China"
"155",13,1,"Car"
"156",13,2,"Times"
"157",13,3,"."
"158",14,0,""""
"159",14,1,"1987"
"160",14,2,"ALCS"
"161",14,3,"Game"
"162",14,4,"2"
"163",14,5,"-"
"164",14,6,"Detroit"
"165",14,7,"Tigers"
"166",14,8,"vs"
"167",15,0,"This"
"168",15,1,"species"
"169",15,2,"is"
"170",15,3,"endemic"
"171",15,4,"to"
"172",15,5,"Palau"
"173",15,6,"."
"174",16,0,"However"
"175",16,1,","
"176",16,2,"Kaede's"
"177",16,3,"oiled"
"178",16,4,"hair"
"179",16,5,"accidentally"
"180",16,6,"catches"
"181",16,7,"fire"
"182",16,8,"."
"183",17,0,"As"
"184",17,1,"it"
"185",17,2,"starts"
"186",17,3,"to"
"187",17,4,"snow"
"188",17,5,","
"189",17,6,"Takeo"
"190",17,7,"prays"
"191",17,8,"the"
"192",17,9,"spring"
"193",17,10,"would"
"194",17,11,"bring"
"195",17,12,"healing"
"196",17,13,"to"
"197",17,14,"his"
"198",17,15,"land"
"199",17,16,"."
"200",18,0,"Francois"
"201",18,1,","
"202",18,2,"C."
"203",18,3,","
"204",18,4,"Yelnik"
"205",18,5,","
"206",18,6,"J."
"207",18,7,","
"208",18,8,"Percheron"
"209",18,9,","
"210",18,10,"G."
"211",18,11,"("
"212",18,12,"1996"
"213",18,13,")"
"214",18,14,"A"
"215",18,15,"stereotactic"
"216",18,16,"atlas"
"217",18,17,"of"
"218",18,18,"the"
"219",18,19,"basal"
"220",18,20,"ganglia"
"221",18,21,"in"
"222",18,22,"Macaques"
"223",18,23,"."
"224",19,0,""""
"225",19,1,"U.S."
"226",19,2,"Decennial"
"227",19,3,"Census"
"228",19,4,""""
"229",19,5,"."
"230",20,0,"They"
"231",20,1,"are"
"232",20,2,"responsible"
"233",20,3,"for"
"234",20,4,"student"
"235",20,5,"union"
"236",20,6,"activity"
"237",20,7,"on"
"238",20,8,"each"
"239",20,9,"campus"
"240",20,10,"."
"241",21,0,"It"
"242",21,1,"was"
"243",21,2,"named"
"244",21,3,"after"
"245",21,4,"the"
"246",21,5,"glass"
"247",21,6,"factory"
"248",21,7,"that"
"249",21,8,"once"
"250",21,9,"was"
"251",21,10,"located"
"252",21,11,"in"
"253",21,12,"the"
"254",21,13,"town"
"255",21,14,"."
"256",22,0,"Retrieved"
"257",22,1,"22 September 2015"
"258",22,2,"."
"259",23,0,""""
"260",23,1,"Lalah"
"261",23,2,"Hathaway"
"262",23,3,"Stretches"
"263",23,4,"Her"
"264",23,5,"Musical"
"265",23,6,"Canvas"
"266",23,7,"With"
"267",23,8,"Her"
"268",23,9,"Stax"
"269",23,10,"Records"
"270",23,11,"Debut"
"271",23,12,""""
"272",23,13,"Self"
"273",23,14,"Portrait"
"274",23,15,""""
"275",23,16,""""
"276",23,17,"."
"277",24,0,"It"
"278",24,1,"debuted"
"279",24,2,"at"
"280",24,3,"#"
"281",24,4,"3"
"282",24,5,"on"
"283",24,6,"the"
"284",24,7,"Gaon"
"285",24,8,"Singles"
"286",24,9,"Chart"
"287",24,10,"."
"288",25,0,"Tropical"
"289",25,1,"Depression"
"290",25,2,"Two"
"291",25,3,"was"
"292",25,4,"upgraded"
"293",25,5,"into"
"294",25,6,"a"
"295",25,7,"tropical"
"296",25,8,"storm"
"297",25,9,"in"
"298",25,10,"post"
"299",25,11,"season"
"300",25,12,"analysis"
"301",25,13,","
"302",25,14,"and"
"303",25,15,"as"
"304",25,16,"a"
"305",25,17,"result"
"306",25,18,"has"
"307",25,19,"no"
"308",25,20,"name"
"309",25,21,"."
"310",26,0,""""
"311",26,1,"Loma"
"312",26,2,"Prieta"
"313",26,3,"Announce"
"314",26,4,"'"
"315",26,5,"Self"
"316",26,6,"Portrait"
"317",26,7,"'"
"318",26,8,"LP"
"319",26,9,"for"
"320",26,10,"Deathwish"
"321",26,11,"inc"
"322",26,12,""""
"323",26,13,"."
"324",27,0,"When"
"325",27,1,"air"
"326",27,2,"and"
"327",27,3,"fluid"
"328",27,4,"mix"
"329",27,5,"together"
"330",27,6,"in"
"331",27,7,"the"
"332",27,8,"pericardial"
"333",27,9,"sac"
"334",27,10,","
"335",27,11,"a"
"336",27,12,"tinkling"
"337",27,13,"sound"
"338",27,14,"superimposed"
"339",27,15,"over"
"340",27,16,"a"
"341",27,17,"succussion"
"342",27,18,"splash"
"343",27,19,"is"
"344",27,20,"heard"
"345",27,21,"."
"346",28,0,"The"
"347",28,1,"single"
"348",28,2,"descriptive"
"349",28,3,"words"
"350",28,4,"are"
"351",28,5,"as"
"352",28,6,"follows"
"353",28,7,":"
"354",28,8,"Excellent"
"355",28,9,","
"356",28,10,"Very"
"357",28,11,"Good"
"358",28,12,","
"359",28,13,"Good"
"360",28,14,","
"361",28,15,"Fair"
"362",28,16,","
"363",28,17,"and"
"364",28,18,"Poor"
"365",28,19,"."
"366",29,0,"Retrieved"
"367",29,1,"on"
"368",29,2,"November 4, 2014"
"369",29,3,"."
"370",30,0,"She"
"371",30,1,"received"
"372",30,2,"her"
"373",30,3,"law"
"374",30,4,"degree"
"375",30,5,"from"
"376",30,6,"the"
"377",30,7,"University"
"378",30,8,"of"
"379",30,9,"Southern"
"380",30,10,"California"
"381",30,11,"in"
"382",30,12,"1916"
"383",30,13,"and"
"384",30,14,"an"
"385",30,15,"LL"
"386",30,16,"."
"387",30,17,"M"
"388",30,18,"."
"389",30,19,"a"
"390",30,20,"year"
